ID_REF,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333,mean,std
YER003C,6.980703831,6.455491543,3.93984127,5.762654781,5.560045242,5.51416111,5.462621689,5.426332474,4.711864471,13.04372215,16.95091438,11.78477192,11.19173431,7.228408813,5.576749325,5.44406414,3.610925198,5.936734676,5.367036819,5.625270367,5.791999817,13.96189404,13.73176003,10.08738804,11.34676456,6.289940834,3.541855335,5.743407726,5.15185976,5.292016983,5.088913441,5.208899498,9.118680954,13.06988239,12.98382092,11.98547649,7.776905815,3.552785781
YER004W,20.50737762,37.92716599,29.26787758,42.70191193,37.77216721,36.52614594,43.22318268,34.86415863,7.694915295,10.27242184,13.81621075,13.37969494,26.65442276,33.94659424,39.48081207,39.44406509,32.05462646,31.47346687,32.13245392,22.77645874,7.874285698,12.07826996,15.26609516,12.7994051,29.7704525,36.33135986,30.94343758,26.7434082,31.66218758,28.30777359,31.80461121,16.19777489,9.054944992,10.01181126,12.09302235,13.63174152,25.29129756,11.19704827
YER005W,1.375709414,0.889017344,0.825198591,0.965129435,0.874298573,1.046840906,0.902491868,1.131661534,2.463680506,1.531390309,1.510274053,1.286294341,1.130884051,0.806818187,0.931151211,1.060502291,0.778149426,1.070408106,1.015166759,1.714902878,1.266285777,1.468589067,1.091201663,1.15491569,1.432234526,0.855621338,0.935520351,1.024340868,1.163223147,1.064075708,1.118551135,2.171816826,1.186813235,1.290354371,1.279069662,1.237551808,1.195837082,0.351643855
YER006W,1.279228091,0.563005805,1.449489236,1.338582754,1.551066279,1.748365998,2.264355183,3.005224705,15.54721546,2.255605459,2.007990837,2.410152197,1.624569535,0.677272737,1.54063201,1.482876658,1.373467088,2.267346859,2.546005964,7.693304539,4.345142841,1.599382043,2.443133116,2.365442038,1.477411509,0.747929037,1.238687754,1.272819519,1.667355299,1.860294223,2.430296421,10.5871439,2.792307854,1.314960718,2.175935268,2.420124292,2.649003423,2.853411549
YER007W,0.740068078,0.619653165,0.7321226,0.698537707,0.53310889,0.700435758,0.768147349,0.576802552,1,0.605381191,0.600456595,0.612182736,0.547646403,0.860227287,0.650112867,0.831050277,0.482720166,0.705102026,0.417593509,0.71058321,0.54399997,0.668383121,0.535407722,0.598808348,0.507936478,0.526627243,0.73642534,0.647058845,0.650826454,0.606092453,0.547749758,0.843015969,0.55384618,0.550196886,0.662285089,0.613070488,0.643990631,0.117550472
YER007C-A,6.86265564,4.628901482,5.960272312,5.273340702,5.776655674,5.898692608,6.670639038,7.507837296,13.9709444,7.395740509,7.01255703,5.954314709,6.161883354,4.605681896,5.761850834,6.0787673,5.484950066,6.44387722,6.508594513,9.156587601,7.685714245,7.156539917,6.429184437,5.736842155,5.855922222,4.964497089,4.910633564,5.647058964,5.59297514,6.096639156,6.144895554,11.36464787,6.831868649,5.628937244,5.99595499,6.382779598,6.542773194,1.758706951
YER008C,2.980703831,2.743352652,2.313280344,2.070866346,2.335578203,2.629629612,2.369447231,2.531870604,2.559322119,2.606502295,2.619863033,2.330964565,2.700344563,2.31704545,2.627539396,2.986301422,2.220735788,2.727550745,2.576339722,2.376889944,3.036571503,2.594232559,2.611588001,2.179741859,2.372405529,2.384615421,2.82126689,2.343813658,2.361570358,2.425420284,2.461031914,2.563658714,2.618681431,1.988188982,2.249747038,2.473028898,2.50304697,0.238309552
YER009W,13.90465355,11.30867004,10.14415455,7.944881916,7.971941948,8.602396965,7.544961929,8.707419395,18.38983154,16.05717659,11.46803665,10.91675186,10.4190588,9.027273178,9.303611755,7.993151188,8.503901482,9.22959137,8.172901154,10.68466568,13.68114281,11.64881516,10.26502132,11.69910622,12.95238209,11.69230747,10.682127,10.55071068,9.577479362,10.09663868,7.13611412,13.10012341,12.82857227,9.928149223,11.20323467,13.0155592,10.73201431,2.39297526
YER010C,5.138479233,6.312138557,5.085130692,4.822272301,5.159371853,6.410675526,5.599133015,5.286311626,2.71912837,3.813901663,3.986301661,3.074111462,4.103329659,5.272727489,5.43115139,5.182648659,5.907469749,6.734693527,5.505560875,4.253779411,2.661714077,4.192584991,3.69098711,3.402184725,4.942612648,6.028402328,5.101809978,5.829614639,5.424586296,5.738445282,5.264544487,3.264523983,3.837362766,3.494094372,3.659251451,4.103734493,4.734299176,1.066621411
YER011W,1.426787734,3.186127186,3.702610731,3.341957331,3.255892515,1.94989109,7.419284344,5.494252682,1.99273622,1.652466416,1.477168918,0.752284229,1.582089663,2.974999905,3.079006672,2.179223776,4.191750526,3.159183741,3.559150457,1.584233165,1.353142858,0.95159626,1.907725334,1.038728952,1.529914618,2.897041559,2.582579374,2.930020332,1.998966932,3.267857313,4.386388779,2.23732996,1.493406534,0.899606287,0.95652169,0.981327713,2.482590328,1.393098022
YER012W,10.17480183,11.16069412,9.937570572,9.426321983,10.48260403,10.22222233,8.542795181,9.72413826,4.600484371,10.88565063,11.42237473,8.324872971,8.165328026,10.71136379,11.58126354,10.57420063,12.13712311,11.44693947,9.856419563,8.29589653,8.197713852,8.925849915,9.717811584,8.322740555,11.94017124,13.25798893,11.2567873,11.10446358,10.67562008,10.15231133,10.56092262,6.57972765,10.289011,8.574803352,8.500505447,8.520746231,9.840284454,1.648629228
